osd,source_name,sample_name,organism,material_type,measurement_types,technology_types,device_platforms,data_files
OSD-48,RR1_GC_M31,Mmus_C57-6J_LVR_GC_I_Rep1_M31,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-31.tar.gz | GLDS-48_wgbs_N-GC-31-wgbs.tar.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M32,Mmus_C57-6J_LVR_GC_I_Rep2_M32,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-32.tar.gz | GLDS-48_wgbs_N-GC-32-wgbs.tar.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M35,Mmus_C57-6J_LVR_GC_C_Rep6_M35,Mus musculus,Liver,Rna Methylation Profiling,Whole Transcriptome Bisulfite Sequencing,Illumina,GLDS-48_wtbs_N43_ACAGTG_L005_R1_001.fastq.gz
OSD-48,RR1_GC_M36,Mmus_C57-6J_LVR_GC_C_Rep1_M36,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-36.tar.gz | GLDS-48_wgbs_N-GC-36-wgbs.tar.gz | GLDS-48_wtbs_N44_S40_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M37,Mmus_C57-6J_LVR_GC_C_Rep2_M37,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-37.tar.gz | GLDS-48_wgbs_N-GC-37-wgbs.tar.gz | GLDS-48_wtbs_N45_ACTTGA_L005_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M38,Mmus_C57-6J_LVR_GC_C_Rep3_M38,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-38.tar.gz | GLDS-48_wgbs_N-GC-38-wgbs.tar.gz | GLDS-48_wtbs_N46_GATCAG_L005_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M39,Mmus_C57-6J_LVR_GC_C_Rep4_M39,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-39.tar.gz | GLDS-48_wgbs_N-GC-39-wgbs.tar.gz | GLDS-48_wtbs_N47_TAGCTT_L005_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_M40,Mmus_C57-6J_LVR_GC_C_Rep5_M40,Mus musculus,Liver,Dna Methylation Profiling | Molecular Cellular Imaging | Protein Expression Profiling | RNA-Seq | Rna Methylation Profiling,Mass Spectrometry | Microscopy | Rna Sequencing (Rna Seq) | Whole Genome Bisulfite Sequencing | Whole Transcriptome Bisulfite Sequencing,Illumina | Orbitrap Fusion(Thermo Scientific) | pannoramic scan (3d histech),GLDS-48_rna-seq_N-GC-40.tar.gz | GLDS-48_wgbs_N-GC-40-wgbs.tar.gz | GLDS-48_wtbs_N48_CTTGTA_L005_R1_001.fastq.gz | LSDS-2_Histology_ORO.tar.gz | LSDS-2_Histology_HE.tar.gz
OSD-48,RR1_GC_NASA+CASIS_LVR_POOL,RR1_GC_NASA+CASIS_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
OSD-48,RR1_GC_NASA_LVR_POOL,RR1_GC_NASA_LVR_POOL,Mus musculus,Liver,Protein Expression Profiling,Mass Spectrometry,Orbitrap Fusion(Thermo Scientific),
